iter	Passed	Remaining
0	1	219
1	1	170
2	2	155
3	3	147
4	3	142
5	4	137
6	4	134
7	5	130
8	6	128
9	6	126
10	7	124
11	7	122
12	8	121
13	9	120
14	9	119
15	10	118
16	10	117
17	11	117
18	12	117
19	12	116
20	13	115
21	14	115
22	14	114
23	15	113
24	16	113
25	16	113
26	17	113
27	18	112
28	19	112
29	19	112
30	20	111
31	21	111
32	21	110
33	22	110
34	23	109
35	23	109
36	24	108
37	25	108
38	26	107
39	26	107
40	27	106
41	28	106
42	28	105
43	29	105
44	30	104
45	31	103
46	31	103
47	33	106
48	34	106
49	35	105
50	35	104
51	36	104
52	37	103
53	38	102
54	38	102
55	39	101
56	40	100
57	40	100
58	41	99
59	42	98
60	43	98
61	43	97
62	44	96
63	45	96
64	46	96
65	46	95
66	47	94
67	48	94
68	49	93
69	50	93
70	50	92
71	51	91
72	52	91
73	53	90
74	53	89
75	54	88
76	55	88
77	55	87
78	56	86
79	57	85
80	57	85
81	58	84
82	59	83
83	59	82
84	60	82
85	61	81
86	62	80
87	62	79
88	63	79
89	64	78
90	64	77
91	65	77
92	66	76
93	67	76
94	68	75
95	69	74
96	69	74
97	70	73
98	71	73
99	72	72
100	73	71
101	73	71
102	74	70
103	75	69
104	76	69
105	77	68
106	77	67
107	79	67
108	80	66
109	80	66
110	81	65
111	82	64
112	83	64
113	84	63
114	84	62
115	85	62
116	86	61
117	87	60
118	88	59
119	89	59
120	89	58
121	90	58
122	91	57
123	92	56
124	93	56
125	94	55
126	95	54
127	96	54
128	97	53
129	97	52
130	98	52
131	99	51
132	100	50
133	101	49
134	102	49
135	103	48
136	103	47
137	104	47
138	105	46
139	106	45
140	107	44
141	108	44
142	109	43
143	110	43
144	111	42
145	112	41
146	113	40
147	114	40
148	115	39
149	115	38
150	116	37
151	117	37
152	118	36
153	119	35
154	120	34
155	121	34
156	122	33
157	123	32
158	123	31
159	124	31
160	125	30
161	126	29
162	127	28
163	128	28
164	129	27
165	129	26
166	130	25
167	131	25
168	132	24
169	133	23
170	134	22
171	135	22
172	136	21
173	137	20
174	137	19
175	138	18
176	139	18
177	140	17
178	141	16
179	142	15
180	143	15
181	144	14
182	144	13
183	145	12
184	146	11
185	147	11
186	148	10
187	149	9
188	150	8
189	150	7
190	151	7
191	152	6
192	153	5
193	154	4
194	154	3
195	155	3
196	156	2
197	157	1
198	158	0
199	159	0
